708082083,Blue,200,0,87,1/1/2023,Week-1,Q1,2023,3544,1661,15149,111,0.469,Chip ,Travel,4393.21,0
708083283,Blue,445,1,108,1/1/2023,Week-1,Q1,2023,3421,2517,992,21,0.736,Swipe ,Entertainment,69.44,0
708084558,Blue,140,0,106,1/1/2023,Week-1,Q1,2023,8258,1771,1447,23,0.214,Chip ,Bills,202.58,0
708085458,Blue,250,1,150,1/1/2023,Week-1,Q1,2023,1438.3,0,3940,82,0,Online ,Grocery,236.4,0
708086958,Blue,320,1,106,1/1/2023,Week-1,Q1,2023,3128,749,4369,59,0.239,Swipe ,Fuel,1004.87,1
708095133,Blue,100,0,94,1/1/2023,Week-1,Q1,2023,33304,1833,1448,29,0.055,Swipe ,Bills,275.12,0
708098133,Blue,225,1,75,1/1/2023,Week-1,Q1,2023,2834,1418,1598,39,0.5,Swipe ,Bills,159.8,1
708099183,Blue,400,1,75,1/1/2023,Week-1,Q1,2023,5723,1873,2732,63,0.327,Swipe ,Grocery,409.8,0
708100533,Blue,200,1,64,1/1/2023,Week-1,Q1,2023,2679,2277,4943,85,0.85,Chip ,Food,988.6,0
708103608,Platinum,95,1,80,1/1/2023,Week-1,Q1,2023,11898,2517,15798,128,0.212,Chip ,Grocery,3791.52,0
708104658,Blue,455,1,118,1/1/2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732,0
708108333,Blue,485,0,86,1/1/2023,Week-1,Q1,2023,5590,0,1507,32,0,Swipe ,Entertainment,150.7,0
708112008,Blue,440,1,86,1/1/2023,Week-1,Q1,2023,23510,1049,1661,35,0.045,Swipe ,Grocery,465.08,0
708113208,Blue,300,1,149,1/1/2023,Week-1,Q1,2023,1688,0,4375,69,0,Chip ,Fuel,525,0
708117933,Blue,360,0,70,1/1/2023,Week-1,Q1,2023,1880,0,2469,34,0,Chip ,Bills,419.73,1
708119658,Blue,340,0,44,1/1/2023,Week-1,Q1,2023,12836,1034,2519,53,0.081,Swipe ,Bills,554.18,0
708121908,Blue,405,0,71,1/1/2023,Week-1,Q1,2023,22917,0,2045,45,0,Swipe ,Grocery,265.85,0
708123033,Silver,355,0,78,1/1/2023,Week-1,Q1,2023,11463,0,14511,105,0,Swipe ,Fuel,3047.31,0
708125733,Blue,220,0,69,1/1/2023,Week-1,Q1,2023,1438.3,0,4311,77,0,Swipe ,Entertainment,1207.08,0
